,Unnamed: 0,linkID,boro,lat,long,status,activationDate,installationDate,streetPlacement,wifi
15,371,LINK-011040,Manhattan,40.829002,-73.937279,Installed,,06/05/2018,corner,18
16,372,LINK-012614,Manhattan,40.754593,-73.988137,Live,02/15/2018,08/19/2017,corner,131
17,373,LINK-011566,Manhattan,40.73196,-73.983802,Live,11/18/2016,10/01/2016,corner,144
18,374,LINK-010274,Manhattan,40.855615,-73.928997,Live,02/20/2018,12/01/2017,corner,22
19,375,LINK-000649,Manhattan,40.745071,-73.980374,Live,02/01/2019,06/05/2018,corner,102
20,376,LINK-000567,Manhattan,40.761816,-73.986606,Live,04/27/2016,03/18/2016,corner,166
21,377,LINK-001497,Manhattan,40.792534,-73.973125,Live,09/21/2017,08/13/2017,corner,77
22,378,LINK-021396,Queens,40.696331,-73.837842,Live,08/09/2017,07/22/2017,corner,13
23,379,LINK-000568,Manhattan,40.759937,-73.987972,Live,07/20/2016,07/13/2016,corner,99
24,380,LINK-018119,Brooklyn,40.679561,-73.9355,Live,03/20/2017,02/27/2017,corner,22
25,381,LINK-000726,Manhattan,40.752335,-73.979738,Live,05/04/2017,02/11/2017,corner,143
26,382,LINK-013014,Bronx,40.847574,-73.900766,Live,06/13/2017,05/06/2017,corner,1
27,383,LINK-020515,Bronx,40.812841,-73.916074,Live,05/31/2018,02/12/2018,corner,5
28,384,LINK-001682,Manhattan,40.822319,-73.953676,Live,07/14/2016,06/17/2016,corner,12
29,385,LINK-001596,Manhattan,40.800681,-73.96826,Installed,,08/07/2018,corner,82
30,386,LINK-020661,Brooklyn,40.68241,-73.993467,Live,09/18/2017,07/20/2017,corner,90
31,387,LINK-000930,Manhattan,40.774646,-73.9824,Live,07/19/2016,04/16/2016,corner,47
32,388,LINK-001552,Manhattan,40.797702,-73.969244,Live,06/27/2017,05/13/2017,corner,27
33,389,LINK-000043,Brooklyn,40.673534,-73.982789,Live,08/15/2017,06/27/2017,corner,90
